Frec[Hz],Fase [°],|Z|[ohm],Rs[ohm],Ls[H],Q
4.2170E+02,7.7489E+01,2.7378E+00,5.9309E-01,1.0088E-03,4.5066E+00
4.4668E+02,7.8456E+01,2.8996E+00,5.8026E-01,1.0122E-03,4.8960E+00
4.7315E+02,7.8716E+01,3.0579E+00,5.9835E-01,1.0087E-03,5.0118E+00
5.0119E+02,7.9168E+01,3.2350E+00,6.0793E-01,1.0090E-03,5.2266E+00
5.3088E+02,7.9751E+01,3.4345E+00,6.1109E-01,1.0132E-03,5.5305E+00
5.6234E+02,8.0625E+01,3.6157E+00,5.8898E-01,1.0096E-03,6.0569E+00
5.9566E+02,8.1015E+01,3.8360E+00,5.9908E-01,1.0124E-03,6.3245E+00
6.3096E+02,8.1598E+01,4.0510E+00,5.9195E-01,1.0109E-03,6.7701E+00
6.6834E+02,8.1874E+01,4.2830E+00,6.0545E-01,1.0097E-03,7.0031E+00
7.0795E+02,8.2437E+01,4.5260E+00,5.9566E-01,1.0086E-03,7.5322E+00
7.4989E+02,8.2881E+01,4.7999E+00,5.9486E-01,1.0109E-03,8.0068E+00
7.9433E+02,8.3241E+01,5.0797E+00,5.9788E-01,1.0107E-03,8.4372E+00
8.4140E+02,8.3557E+01,5.3516E+00,6.0055E-01,1.0059E-03,8.8550E+00
8.9125E+02,8.3920E+01,5.6927E+00,6.0295E-01,1.0109E-03,9.3883E+00
9.4406E+02,8.4490E+01,6.0211E+00,5.7817E-01,1.0104E-03,1.0366E+01
1.0000E+03,8.4490E+01,6.3842E+00,6.1305E-01,1.0114E-03,1.0366E+01
1.0593E+03,8.4967E+01,6.7428E+00,5.9160E-01,1.0092E-03,1.1354E+01
1.1220E+03,8.5391E+01,7.1247E+00,5.7250E-01,1.0074E-03,1.2405E+01
1.1885E+03,8.5434E+01,7.5575E+00,6.0160E-01,1.0088E-03,1.2522E+01
1.2589E+03,8.5833E+01,8.0036E+00,5.8151E-01,1.0091E-03,1.3727E+01
1.3335E+03,8.6010E+01,8.4791E+00,5.9002E-01,1.0095E-03,1.4336E+01
1.4125E+03,8.6219E+01,8.9709E+00,5.9152E-01,1.0086E-03,1.5133E+01
1.4962E+03,8.6454E+01,9.4986E+00,5.8755E-01,1.0084E-03,1.6136E+01
1.5849E+03,8.6623E+01,1.0097E+01,5.9475E-01,1.0122E-03,1.6947E+01
1.6788E+03,8.6953E+01,1.0670E+01,5.6724E-01,1.0101E-03,1.8784E+01
1.7783E+03,8.7075E+01,1.1318E+01,5.7758E-01,1.0117E-03,1.9570E+01
1.8836E+03,8.7166E+01,1.1970E+01,5.9184E-01,1.0102E-03,2.0201E+01
1.9953E+03,8.7248E+01,1.2693E+01,6.0950E-01,1.0113E-03,2.0801E+01
2.1135E+03,8.7583E+01,1.3428E+01,5.6640E-01,1.0103E-03,2.3687E+01
2.2387E+03,8.7634E+01,1.4215E+01,5.8690E-01,1.0097E-03,2.4200E+01
2.3714E+03,8.7711E+01,1.5057E+01,6.0132E-01,1.0098E-03,2.5021E+01
2.5119E+03,8.7914E+01,1.5958E+01,5.8100E-01,1.0105E-03,2.7449E+01
2.6607E+03,8.8018E+01,1.6881E+01,5.8391E-01,1.0092E-03,2.8894E+01
2.8184E+03,8.8070E+01,1.7894E+01,6.0273E-01,1.0099E-03,2.9672E+01
2.9854E+03,8.8311E+01,1.8945E+01,5.5846E-01,1.0095E-03,3.3908E+01
3.1623E+03,8.8339E+01,2.0084E+01,5.8231E-01,1.0104E-03,3.4477E+01
3.3497E+03,8.8503E+01,2.1244E+01,5.5511E-01,1.0090E-03,3.8257E+01
3.5481E+03,8.8522E+01,2.2527E+01,5.8119E-01,1.0101E-03,3.8747E+01
3.7584E+03,8.8750E+01,2.3837E+01,5.2010E-01,1.0092E-03,4.5820E+01
3.9811E+03,8.8789E+01,2.5265E+01,5.3399E-01,1.0098E-03,4.7303E+01
4.2170E+03,8.8806E+01,2.6787E+01,5.5796E-01,1.0108E-03,4.7998E+01
4.4668E+03,8.8905E+01,2.8347E+01,5.4182E-01,1.0098E-03,5.2307E+01
4.7315E+03,8.8930E+01,3.0031E+01,5.6054E-01,1.0100E-03,5.3566E+01
