Frec[Hz],Fase [°],|Z|[ohm],Rs[ohm],Ls[H],Q
10,-0.1344700239,8.605898737,8.605875035,-0.0003214539851,0.002346948971
10.59253725,1.017731593,8.381530141,8.380207923,0.002236820987,0.01776463559
11.22018454,-1.027420766,8.490931028,8.489565926,-0.002159622665,0.01793379743
11.88502227,-0.2753548592,8.287626363,8.287530657,-0.0005333579042,0.004805885904
12.58925412,0.08778023627,8.637914258,8.63790412,0.0001673027053,0.00153205534
13.33521432,-0.9926470676,8.560617895,8.559333175,-0.001770010121,0.01732669323
14.12537545,0.02327019099,8.733034684,8.733033963,4.00E-05,0.0004061414727
14.96235656,0.5198021702,8.724657743,8.7242987,0.0008419339634,0.009072508237
15.84893192,0.3762287,8.31250315,8.312323941,0.0005481231224,0.006566523934
16.78804018,-0.03884954327,8.350561955,8.350560036,-5.37E-05,0.0006780525468
17.7827941,1.663037298,8.25971299,8.25623392,0.002145376223,0.02903363029
18.83649089,0.5963646555,8.558386754,8.557923161,0.0007526506868,0.01040890268
19.95262315,0.1706647791,8.378956839,8.378919668,0.0001990814124,0.002978671121
21.1348904,1.862768885,8.163092199,8.158778408,0.001998180266,0.0325229099
22.38721139,1.102945387,8.414183775,8.412624828,0.001151427715,0.01925240662
23.71373706,0.7741326226,8.660521123,8.65973064,0.0007853146157,0.01351198533
25.11886432,0.2406647811,8.536863402,8.536788093,0.0002271993554,0.004200417528
26.6072506,0.3961894855,8.842031724,8.841820336,0.0003657202876,0.006914921195
28.18382931,0.7206540426,8.638546912,8.637863609,0.0006135551016,0.01257844913
29.85382619,0.5860787652,8.270248321,8.269815657,0.0004509874554,0.01022936091
31.6227766,1.462462986,8.050920204,8.048297699,0.001034143354,0.02553033901
33.49654392,0.4384878274,8.585138373,8.584886962,0.000312174986,0.007653205733
35.48133892,0.0001554114701,8.814250639,8.814250639,1.07E-07,2.71E-06
37.58374043,0.3785885154,8.955985561,8.95579005,0.0002505965911,0.006607712269
39.81071706,0.4793586891,8.597536276,8.597235379,0.0002875590589,0.008366582634
42.16965034,1.319233075,8.538469736,8.536206506,0.0007419261863,0.02302903051
44.66835922,0.2536291347,8.652310246,8.652225473,0.0001364668932,0.004426692394
47.3151259,0.5643281401,8.403058567,8.402650979,0.00027839381,0.009849702616
50.11872336,1.188398251,8.628220456,8.626364556,0.0005682632834,0.0207444372
53.08844442,2.549104168,8.513141112,8.504717117,0.001135093489,0.04451963839
56.23413252,1.881940995,8.754723117,8.750000963,0.000813706572,0.03285788393
59.56621435,3.617246524,8.970893286,8.953021318,0.001512247101,0.06321687309
63.09573445,1.096381799,8.661587258,8.660001516,0.0004180519917,0.01913780817
66.83439176,1.20754957,8.48142455,8.479540956,0.0004256367499,0.02107883695
70.79457844,0.4923992047,8.390106157,8.389796327,0.000162097737,0.008594198936
74.98942093,2.804874403,8.087422485,8.077733574,0.0008399386569,0.04899343765
79.43282347,2.987714821,8.077762338,8.066782506,0.0008435889369,0.05219277596
84.13951416,0.994200556,8.738362025,8.737046522,0.0002868003917,0.01735381488
89.12509381,2.797190408,8.537857876,8.527685287,0.0007440393763,0.04885900562
94.40608763,1.393688134,8.190575802,8.188152827,0.000335841768,0.02432924523
100,3.005937017,8.481230039,8.469560768,0.0007078430524,0.05251168495
105.9253725,3.65948175,8.330801586,8.313815119,0.0007989296897,0.06395699737
112.2018454,2.323741895,8.03932281,8.032711912,0.0004623658916,0.04057919859
118.8502227,3.41262938,8.000270408,7.986083777,0.0006377265202,0.05963215226
125.8925412,5.124622585,7.977633341,7.945744918,0.000900853684,0.08968080717
133.3521432,3.296900618,8.197432212,8.18386488,0.0005626541163,0.05760536312
141.2537545,4.316313335,8.19928212,8.176026865,0.0006953051259,0.07547671494
149.6235656,4.229459881,8.246511477,8.224053656,0.0006469313334,0.07395237388
158.4893192,2.635497551,8.43715407,8.428229868,0.0003895856365,0.04603057851
167.8804018,5.793596733,8.020266191,7.979298643,0.0007675279551,0.1014633859
177.827941,4.647048476,8.21607662,8.189067805,0.0005957484624,0.08128461095
188.3649089,5.890848308,8.341533272,8.297483496,0.0007233622006,0.1031785171
199.5262315,4.938108487,8.298437416,8.267635803,0.0005697924028,0.08640028707
211.348904,4.984201337,8.03074773,8.000381002,0.0005254134382,0.08721082095
223.8721139,4.889155128,8.188519502,8.158725131,0.0004961460313,0.08553957501
237.1373706,6.300314618,8.318836087,8.268593252,0.0006126983921,0.1104065859
251.1886432,6.436108005,8.107391851,8.0562948,0.0005758220059,0.1128061498
266.072506,3.884946834,8.007228448,7.988828749,0.0003245129008,0.06790921706
281.8382931,5.398897513,8.273827541,8.237122982,0.0004396085918,0.09450841725
298.5382619,8.37177946,8.114213595,8.027749873,0.0006298182998,0.1471639077
316.227766,7.888074472,8.295073529,8.216585953,0.0005729489798,0.1385493256
334.9654392,8.376834334,8.041388781,7.955597745,0.0005566217564,0.1472540437
354.8133892,9.901786601,8.466200451,8.340087629,0.0006530337923,0.1745600709
375.8374043,10.22541148,8.186565176,8.056537729,0.0006154207671,0.1803863082
398.1071706,10.9165931,7.982319459,7.837870677,0.0006043422026,0.1928700078
421.6965034,11.82270735,7.978082061,7.808837154,0.0006169168462,0.2093245335
446.6835922,10.72267023,8.215742237,8.072289272,0.000544639576,0.1893617889
473.151259,12.51280588,8.644343871,8.439020022,0.0006299796575,0.2219291639
501.1872336,15.89414475,8.245450031,7.930220715,0.0007170749978,0.2847470109
530.8844442,14.29363556,8.030165312,7.781576786,0.0005943613106,0.2547785096
562.3413252,13.32202524,8.158860739,7.939308789,0.0005320801157,0.2367959139
595.6621435,16.20282901,8.386007664,8.052914678,0.0006252296244,0.2905804005
630.9573445,19.4793879,8.309880775,7.834235804,0.0006989864049,0.3537137625
668.3439176,17.36990693,8.140654869,7.769418702,0.0005787371558,0.3128042948
707.9457844,19.42594229,8.486130965,8.00303391,0.00063450735,0.3526646005
749.8942093,16.90966063,8.279907774,7.921922279,0.0005111341323,0.3040074133
794.3282347,20.29957925,8.253372992,7.740768229,0.0005737093306,0.369902884
841.3951416,23.25692012,8.541187064,7.847160325,0.0006379340943,0.4297769863
891.2509381,24.70863479,8.412288983,7.642103483,0.0006279350693,0.4601312108
944.0608763,22.85291268,8.554038147,7.882587962,0.0005600584686,0.4214484017
1000,27.19127208,8.537711218,7.594174542,0.0006209292146,0.5137376414
1059.253725,29.9645579,8.393291655,7.271398371,0.0006298785348,0.5765257884
1122.018454,31.08504678,8.504854048,7.283572841,0.0006228699785,0.6028826691
1188.502227,32.27217911,9.14965609,7.73622817,0.0006542125465,0.6314943466
1258.925412,34.7876536,8.465627157,6.952583989,0.0006106084154,0.6946985779
1333.521432,32.29539471,8.675229801,7.333213221,0.0005531891068,0.6320612638
1412.537545,40.89909941,8.655479701,6.542363435,0.0006385175035,0.8661996608
1496.235656,40.85649472,9.211758013,6.967316883,0.0006409897484,0.8648989876
1584.893192,43.02133178,9.194866645,6.722364579,0.0006299734197,0.9332113924
1678.804018,42.10924195,9.337816427,6.927424301,0.0005936004606,0.9038623758
1778.27941,47.35316619,9.508916484,6.442076324,0.000625978709,1.085709317
1883.649089,46.77215648,9.307540952,6.374746669,0.0005730145365,1.063855338
1995.262315,48.14041685,10.0053566,6.676647968,0.0005944045715,1.116101087
2113.48904,54.58853272,9.882317714,5.726252688,0.0006065168383,1.406540436
2238.721139,57.20020879,10.56516696,5.723205324,0.0006313492186,1.551708678
2371.373706,60.97451813,10.85088642,5.26483439,0.0006367918371,1.802157076
2511.886432,64.86577061,11.78685579,5.006353228,0.0006761108737,2.13145565
2660.72506,68.19330695,11.37059518,4.223906567,0.0006314781287,2.499331592
2818.382931,67.71756751,13.02239239,4.937732588,0.0006804648305,2.440382972
2985.382619,71.5241371,13.57987275,4.303531287,0.0006866470986,2.99287441
3162.27766,72.23989606,14.56249889,4.442031749,0.0006979896539,3.122102775
3349.654392,77.02044577,15.55344702,3.493356149,0.0007201226459,4.338538668
3548.133892,80.01742643,15.59611201,2.703564834,0.0006889872839,5.68138586
3758.374043,82.79274901,17.44530643,2.188667007,0.0007329151049,7.907766728
3981.071706,86.75554471,18.36327534,1.039291045,0.0007329487548,17.6407195
4216.965034,88.24152624,20.31051578,0.6232553695,0.000766190055,32.57244431
4466.835922,89.15489034,21.55796727,0.3179673259,0.0007680344407,67.7919411
4731.51259,90.56824136,22.89265634,-0.2270383799,0.0007700075108,100.8266994
5011.872336,92.06442639,25.10820664,-0.9044790056,0.0007968083133,27.74183819
5308.844442,92.96946653,27.33159817,-1.415879813,0.0008182794272,19.27769528
